"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"552","Ealing, London","492","Camden, 00AG (492)","3/1/2020 - 3/31/2020, Every day, Daily Average",1995,1568,2538
"552","Ealing, London","493","Camden, 00AG (493)","3/1/2020 - 3/31/2020, Every day, Daily Average",1825,1272,2616
"552","Ealing, London","495","Hounslow, 00AT (495)","3/1/2020 - 3/31/2020, Every day, Daily Average",674,483,939
"552","Ealing, London","496","Hounslow, 00AT (496)","3/1/2020 - 3/31/2020, Every day, Daily Average",683,462,1007
"552","Ealing, London","497","Hounslow, 00AT (497)","3/1/2020 - 3/31/2020, Every day, Daily Average",519,333,807
"552","Ealing, London","498","Hounslow, 00AT (498)","3/1/2020 - 3/31/2020, Every day, Daily Average",797,587,1080
"552","Ealing, London","499","Hounslow, 00AT (499)","3/1/2020 - 3/31/2020, Every day, Daily Average",949,706,1274
"552","Ealing, London","501","Camden, 00AG (501)","3/1/2020 - 3/31/2020, Every day, Daily Average",1596,1173,2170
"552","Ealing, London","502","Harrow, 00AQ (502)","3/1/2020 - 3/31/2020, Every day, Daily Average",1238,983,1558
"552","Ealing, London","503","Harrow, 00AQ (503)","3/1/2020 - 3/31/2020, Every day, Daily Average",1146,917,1430
"552","Ealing, London","504","Harrow, 00AQ (504)","3/1/2020 - 3/31/2020, Every day, Daily Average",1148,871,1511
"552","Ealing, London","505","Camden, 00AG (505)","3/1/2020 - 3/31/2020, Every day, Daily Average",1773,1355,2319
"552","Ealing, London","510","Camden, 00AG (510)","3/1/2020 - 3/31/2020, Every day, Daily Average",1578,1211,2056
"552","Ealing, London","517","Camden, 00AG (517)","3/1/2020 - 3/31/2020, Every day, Daily Average",1852,1346,2548
"552","Ealing, London","524","Camden, 00AG (524)","3/1/2020 - 3/31/2020, Every day, Daily Average",1677,1242,2264
