"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"573","Camden, 00AG (573)","93","Greenwich, 00AL (93)","3/1/2020 - 3/31/2020, Every day, Daily Average",2611,1949,3496
"573","Camden, 00AG (573)","94","Greenwich, 00AL (94)","3/1/2020 - 3/31/2020, Every day, Daily Average",2310,1664,3205
"573","Camden, 00AG (573)","95","Greenwich, 00AL (95)","3/1/2020 - 3/31/2020, Every day, Daily Average",2805,2105,3736
"573","Camden, 00AG (573)","96","Greenwich, 00AL (96)","3/1/2020 - 3/31/2020, Every day, Daily Average",1965,1459,2645
"573","Camden, 00AG (573)","97","Greenwich, 00AL (97)","3/1/2020 - 3/31/2020, Every day, Daily Average",2208,1671,2917
"573","Camden, 00AG (573)","98","Greenwich, 00AL (98)","3/1/2020 - 3/31/2020, Every day, Daily Average",2674,2053,3482
"573","Camden, 00AG (573)","99","Greenwich, 00AL (99)","3/1/2020 - 3/31/2020, Every day, Daily Average",2224,1635,3024
"573","Camden, 00AG (573)","100","Greenwich, 00AL (100)","3/1/2020 - 3/31/2020, Every day, Daily Average",2239,1686,2971
"573","Camden, 00AG (573)","101","Greenwich, 00AL (101)","3/1/2020 - 3/31/2020, Every day, Daily Average",2490,1795,3454
"573","Camden, 00AG (573)","102","Greenwich, 00AL (102)","3/1/2020 - 3/31/2020, Every day, Daily Average",2315,1759,3045
"573","Camden, 00AG (573)","103","Greenwich, 00AL (103)","3/1/2020 - 3/31/2020, Every day, Daily Average",2390,1828,3123
"573","Camden, 00AG (573)","104","Greenwich, 00AL (104)","3/1/2020 - 3/31/2020, Every day, Daily Average",2460,1803,3356
"573","Camden, 00AG (573)","105","Greenwich, 00AL (105)","3/1/2020 - 3/31/2020, Every day, Daily Average",2545,1869,3465
"573","Camden, 00AG (573)","106","Camden, 00AG (106)","3/1/2020 - 3/31/2020, Every day, Daily Average",265,128,546
"573","Camden, 00AG (573)","107","Croydon, 00AH (107)","3/1/2020 - 3/31/2020, Every day, Daily Average",2867,2289,3590
"573","Camden, 00AG (573)","108","Croydon, 00AH (108)","3/1/2020 - 3/31/2020, Every day, Daily Average",2941,2303,3754
"573","Camden, 00AG (573)","109","Croydon, 00AH (109)","3/1/2020 - 3/31/2020, Every day, Daily Average",2505,1972,3181
"573","Camden, 00AG (573)","110","Croydon, 00AH (110)","3/1/2020 - 3/31/2020, Every day, Daily Average",2521,2020,3144
"573","Camden, 00AG (573)","112","Croydon, 00AH (112)","3/1/2020 - 3/31/2020, Every day, Daily Average",3239,2645,3965
"573","Camden, 00AG (573)","113","Croydon, 00AH (113)","3/1/2020 - 3/31/2020, Every day, Daily Average",2572,2058,3213
"573","Camden, 00AG (573)","114","Croydon, 00AH (114)","3/1/2020 - 3/31/2020, Every day, Daily Average",2875,2297,3597
"573","Camden, 00AG (573)","115","Croydon, 00AH (115)","3/1/2020 - 3/31/2020, Every day, Daily Average",3254,2611,4054
