"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"603","Enfield, UK","465","Camden, 00AG (465)","3/1/2020 - 3/31/2020, Every day, Daily Average",2177,1661,2852
"603","Enfield, UK","467","Camden, 00AG (467)","3/1/2020 - 3/31/2020, Every day, Daily Average",2028,1578,2605
"603","Enfield, UK","471","Camden, 00AG (471)","3/1/2020 - 3/31/2020, Every day, Daily Average",2287,1786,2927
"603","Enfield, UK","473","Camden, 00AG (473)","3/1/2020 - 3/31/2020, Every day, Daily Average",2033,1099,3757
"603","Enfield, UK","476","Hillingdon, 00AS (476)","3/1/2020 - 3/31/2020, Every day, Daily Average",2841,2304,3502
"603","Enfield, UK","477","Hillingdon, 00AS (477)","3/1/2020 - 3/31/2020, Every day, Daily Average",2718,2203,3353
"603","Enfield, UK","479","Hillingdon, 00AS (479)","3/1/2020 - 3/31/2020, Every day, Daily Average",2827,2328,3432
"603","Enfield, UK","491","Camden, 00AG (491)","3/1/2020 - 3/31/2020, Every day, Daily Average",2209,1685,2895
"603","Enfield, UK","492","Camden, 00AG (492)","3/1/2020 - 3/31/2020, Every day, Daily Average",2367,1803,3106
"603","Enfield, UK","501","Camden, 00AG (501)","3/1/2020 - 3/31/2020, Every day, Daily Average",2693,2039,3555
"603","Enfield, UK","517","Camden, 00AG (517)","3/1/2020 - 3/31/2020, Every day, Daily Average",2605,1929,3516
"603","Enfield, UK","524","Camden, 00AG (524)","3/1/2020 - 3/31/2020, Every day, Daily Average",2705,2007,3645
"603","Enfield, UK","542","Ealing, 00AJ (542)","3/1/2020 - 3/31/2020, Every day, Daily Average",2161,1433,3258
"603","Enfield, UK","567","Camden, 00AG (567)","3/1/2020 - 3/31/2020, Every day, Daily Average",2706,1987,3683
"603","Enfield, UK","569","Hackney, 00AM (569)","3/1/2020 - 3/31/2020, Every day, Daily Average",2075,1664,2587
"603","Enfield, UK","571","Hackney, 00AM (571)","3/1/2020 - 3/31/2020, Every day, Daily Average",1947,1531,2475
"603","Enfield, UK","596","Enfield, 00AK (596)","3/1/2020 - 3/31/2020, Every day, Daily Average",871,635,1194
"603","Enfield, UK","597","Enfield, 00AK (597)","3/1/2020 - 3/31/2020, Every day, Daily Average",767,547,1074
"603","Enfield, UK","598","Enfield, 00AK (598)","3/1/2020 - 3/31/2020, Every day, Daily Average",987,715,1362
"603","Enfield, UK","599","Enfield, 00AK (599)","3/1/2020 - 3/31/2020, Every day, Daily Average",264,100,691
"603","Enfield, UK","600","Enfield, 00AK (600)","3/1/2020 - 3/31/2020, Every day, Daily Average",330,162,671
"603","Enfield, UK","601","Enfield, 00AK (601)","3/1/2020 - 3/31/2020, Every day, Daily Average",641,436,941
"603","Enfield, UK","602","Enfield, 00AK (602)","3/1/2020 - 3/31/2020, Every day, Daily Average",731,522,1023
"603","Enfield, UK","603","Enfield, 00AK (603)","3/1/2020 - 3/31/2020, Every day, Daily Average",251,103,608
"603","Enfield, UK","604","Enfield, 00AK (604)","3/1/2020 - 3/31/2020, Every day, Daily Average",156,56,433
