"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"895","London Borough of Redbridge, UK","320","Tower Hamlets, 00BG (320)","3/1/2020 - 3/31/2020, Every day, Daily Average",1927,1454,2552
"895","London Borough of Redbridge, UK","321","Tower Hamlets, 00BG (321)","3/1/2020 - 3/31/2020, Every day, Daily Average",1920,1467,2512
"895","London Borough of Redbridge, UK","322","Tower Hamlets, 00BG (322)","3/1/2020 - 3/31/2020, Every day, Daily Average",2278,1832,2831
"895","London Borough of Redbridge, UK","323","Tower Hamlets, 00BG (323)","3/1/2020 - 3/31/2020, Every day, Daily Average",1549,1207,1987
"895","London Borough of Redbridge, UK","325","Waltham Forest, 00BH (325)","3/1/2020 - 3/31/2020, Every day, Daily Average",988,708,1377
"895","London Borough of Redbridge, UK","326","Waltham Forest, 00BH (326)","3/1/2020 - 3/31/2020, Every day, Daily Average",1236,842,1814
"895","London Borough of Redbridge, UK","327","Waltham Forest, 00BH (327)","3/1/2020 - 3/31/2020, Every day, Daily Average",1112,814,1517
"895","London Borough of Redbridge, UK","328","Waltham Forest, 00BH (328)","3/1/2020 - 3/31/2020, Every day, Daily Average",1070,772,1481
"895","London Borough of Redbridge, UK","329","Waltham Forest, 00BH (329)","3/1/2020 - 3/31/2020, Every day, Daily Average",1303,1001,1694
"895","London Borough of Redbridge, UK","362","Westminster, 00BK (362)","3/1/2020 - 3/31/2020, Every day, Daily Average",3121,2539,3834
"895","London Borough of Redbridge, UK","368","Barnet, 00AC (368)","3/1/2020 - 3/31/2020, Every day, Daily Average",2029,1429,2880
"895","London Borough of Redbridge, UK","370","Barnet, 00AC (370)","3/1/2020 - 3/31/2020, Every day, Daily Average",2080,1468,2947
"895","London Borough of Redbridge, UK","372","Barnet, 00AC (372)","3/1/2020 - 3/31/2020, Every day, Daily Average",2246,1588,3176
"895","London Borough of Redbridge, UK","374","Barnet, 00AC (374)","3/1/2020 - 3/31/2020, Every day, Daily Average",2324,1676,3221
"895","London Borough of Redbridge, UK","407","Barking and Dagenham, 00AB (407)","3/1/2020 - 3/31/2020, Every day, Daily Average",1035,751,1425
"895","London Borough of Redbridge, UK","408","Barking and Dagenham, 00AB (408)","3/1/2020 - 3/31/2020, Every day, Daily Average",1349,1014,1793
"895","London Borough of Redbridge, UK","415","Barnet, 00AC (415)","3/1/2020 - 3/31/2020, Every day, Daily Average",1977,1411,2769
"895","London Borough of Redbridge, UK","424","Brent, 00AE (424)","3/1/2020 - 3/31/2020, Every day, Daily Average",2462,1745,3472
"895","London Borough of Redbridge, UK","425","Brent, 00AE (425)","3/1/2020 - 3/31/2020, Every day, Daily Average",2407,1697,3413
"895","London Borough of Redbridge, UK","428","Brent, 00AE (428)","3/1/2020 - 3/31/2020, Every day, Daily Average",2533,1801,3562
"895","London Borough of Redbridge, UK","551","Camden, 00AG (551)","3/1/2020 - 3/31/2020, Every day, Daily Average",2760,2150,3542
"895","London Borough of Redbridge, UK","566","Havering, 00AR (566)","3/1/2020 - 3/31/2020, Every day, Daily Average",1122,901,1395
"895","London Borough of Redbridge, UK","570","Hackney, 00AM (570)","3/1/2020 - 3/31/2020, Every day, Daily Average",1260,972,1633
"895","London Borough of Redbridge, UK","598","Enfield, 00AK (598)","3/1/2020 - 3/31/2020, Every day, Daily Average",1580,1310,1905
"895","London Borough of Redbridge, UK","599","Enfield, 00AK (599)","3/1/2020 - 3/31/2020, Every day, Daily Average",1856,1524,2260
"895","London Borough of Redbridge, UK","608","Hackney, 00AM (608)","3/1/2020 - 3/31/2020, Every day, Daily Average",1386,1081,1776
"895","London Borough of Redbridge, UK","610","Hackney, 00AM (610)","3/1/2020 - 3/31/2020, Every day, Daily Average",1600,1247,2052
"895","London Borough of Redbridge, UK","611","Havering, 00AR (611)","3/1/2020 - 3/31/2020, Every day, Daily Average",1246,997,1556
"895","London Borough of Redbridge, UK","612","Havering, 00AR (612)","3/1/2020 - 3/31/2020, Every day, Daily Average",825,658,1033
"895","London Borough of Redbridge, UK","613","Havering, 00AR (613)","3/1/2020 - 3/31/2020, Every day, Daily Average",1148,959,1373
"895","London Borough of Redbridge, UK","614","Havering, 00AR (614)","3/1/2020 - 3/31/2020, Every day, Daily Average",655,494,867
"895","London Borough of Redbridge, UK","615","Havering, 00AR (615)","3/1/2020 - 3/31/2020, Every day, Daily Average",1036,808,1327
